standard_id,title,description,category,department,year,status,supersedes,certification_scheme,qco_applicable,qco_reference
IS 18001:2022,Unified Threat Management (UTM) Firewalls - Security Requirements,Hardware network security firewalls for government intranet gateways,Electronics & IT,LITD 27,2022,Active,,Scheme-II / CRS,True,Electronics & IT Products (Quality Control) Order
IS 18002:2022,Ethernet Switches for Mission Critical Infrastructure,Layer 2 and Layer 3 managed enterprise network switches,Electronics & IT,LITD 27,2022,Active,,Scheme-II / CRS,True,Electronics & IT Products (Quality Control) Order
IS 10257:1982,Hypodermic Needles for Reusable Use,Luer lock medical needles,Medical Devices,MHD 12,1982,Active,,Scheme-I / Medical Device,True,Medical Devices Products (Quality Control) Order
IS 12655:2003,Infusion Sets for Single Use - Gravity Feed,IV drip infusion sets for saline and drug administration in district hospitals,Medical Devices,MHD 12,2003,Active,,Scheme-I / CDSCO Class B,True,Medical Devices Products (Quality Control) Order
IS 12656:2003,Blood Transfusion Sets for Single Use,Sterile blood administration filter sets for government blood banks,Medical Devices,MHD 12,2003,Active,,Scheme-I / CDSCO Class B,True,Medical Devices Products (Quality Control) Order
IS 3390:1990,"Sphygmomanometers, Mercurial - Specification",Blood pressure measurement devices for government clinics,Medical Devices,MHD 09,1990,Active,,Scheme-I / Legal Metrology,True,Medical Devices Products (Quality Control) Order
IS 7620 (Part 1):1986,Diagnostic Medical X-Ray Equipment - Part 1: General Requirements,Radiation protection and electrical safety for hospital diagnostic radiography,Medical Devices,MHD 15,1986,Active,,Scheme-I / AERB Approved,True,Medical Devices Products (Quality Control) Order
IS 260:1969,"Aluminium Sulphate, Non-Ferric (Alum)",Water treatment coagulation chemical for municipal water purification works,Chemicals,CHD 01,1969,Active,,Scheme-I / ISI Mark,True,Chemicals Products (Quality Control) Order
IS 11673:1992,Poly Aluminium Chloride (PAC) for Water Treatment,High-efficiency flocculant for urban drinking water treatment plants,Chemicals,CHD 01,1992,Active,,Scheme-I / ISI Mark,True,Chemicals Products (Quality Control) Order
IS 105:1975,"Ready Mixed Paint, Brushing, Finishing, Oil Gloss",General purpose oil paint for government quarters and public works,Chemicals,CHD 20,1975,Active,,Scheme-I / ISI Mark,True,Chemicals Products (Quality Control) Order
IS 15489:2004,Plastic Waste Management - Guidelines for Recycling of Plastics,Recycling codes and environmental standards for post-consumer plastic,Chemicals,CHD 12,2004,Active,,Scheme-IV / Environment Code,False,
IS 14534:1998,Guidelines for Recovery and Recycling of Plastic Waste,Ecological classification for state municipal solid waste processing,Chemicals,CHD 12,1998,Active,,Scheme-IV / Environment Code,False,
IS 11536:2007,Processed Cereal Based Complementary Foods for Infants,Fortified infant cereals for Anganwadi child nutrition programs,Food & Agriculture,FAD 19,2007,Active,,Scheme-I / ISI Mark,True,Food & Agriculture Products (Quality Control) Order
IS 1797:1985,Methods of Test for Spices and Condiments,"Moisture, volatile oil, and lead content testing in public food distribution",Food & Agriculture,FAD 08,1985,Active,,Scheme-I / Testing Code,False,
IS 1548:1981,Manual on Food Hygiene - General Principles,HACCP principles for government centralized mid-day meal kitchens,Food & Agriculture,FAD 15,1981,Active,,Scheme-IV / Food Safety Code,False,
IS 2491:1998,Food Hygiene - General Principles - Code of Practice,Sanitation standards for food storage depots and dairy docks,Food & Agriculture,FAD 15,1998,Active,,Scheme-IV / Food Safety Code,False,
